ANO;CD_SERV_SME;CD_CARGO;DC_CARGO;CD_SIT_FUNC;DC_SIT_FUNC;JORN_OPCAO;JORN_EXERCICIO;CD_UNIDADE;TP_UNIDADE;DC_UNIDADE;DRE_UNIDADE;CD_TURMA;NOME_TURMA;CD_SERIE;DC_SERIE;CD_COMPONENTE;DC_COMPONENTE;CD_TURNO;DC_TURNO;QT_CARG_HORARIA;TOT_AULAS;CD_ATRIBUICAO;CD_UNIDADE_ATRIBUICAO;DT_ATRIBUICAO;CD_TIPO_ATRIBUICAO;CD_AREA_ATUACAO;DC_AREA_ATUACAO;CD_ETAPA_ENSINO;DC_ETAPA_ENSINO;CD_CICLO_ENSINO;DC_CICLO_ENSINO;CD_MODALIDADE_ENSINO;DC_MODALIDADE_ENSINO;CD_TIPO_PROGRAMA;DC_TIPO_PROGRAMA;CD_MODALIDADE_ENSINO_PROGRAMA;DC_MODALIDADE_ENSINO_PROGRAMA
2012;249532;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1162528;1B;432;CII 2A FI;139;ARTE;1;Manhã;2;25;19923;91812;03/02/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;249532;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1162561;1B;436;CII 4A FI;138;LINGUA PORTUGUESA;5;Noite               ;6;25;19924;91812;13/02/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;249532;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1162531;1C;432;CII 2A FI;139;ARTE;1;Manhã;2;25;19925;91812;03/02/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;249532;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1162548;1B;434;CII 3A FI;139;ARTE;1;Manhã;2;25;19926;91812;03/02/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;249532;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1165049;1B;427;CI.4A.FI;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;19927;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;17;CICLO I;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;263432;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1159052;1A;1002;CI 2A F I 9A;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;22226;91812;02/02/2012 00:00;N;2;Ensino Fundamental I;13;ENSINO FUNDAMENTAL 9 ANOS;19;CICLO I;2;ENSINO FUNDAMENTAL 9 ANOS;;;1;REGULAR
2012;263442;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1200604;6A;416;INF II ESP F I;512;ED.INF. EMEI 4 HS;3;Tarde               ;24;24;22227;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;10;EDUCACAO INFANTIL;14;PRE;2;EDUCACAO INFANTIL;;;1;REGULAR
2012;269613;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PJ;1155124;1E;434;CII 3A FI;218;LIBRAS;1;Manhã;3;24;23533;205;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;269613;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PJ;1155101;1B;434;CII 3A FI;218;LIBRAS;1;Manhã;3;24;23534;205;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;269613;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PJ;1155119;1D;434;CII 3A FI;218;LIBRAS;1;Manhã;3;24;23535;205;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
