,,,,,,,IDEP,,META,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
094862,EMEF ALBERTO SANTOS DUMONT,JACANA/TREMEMBE,VILA MEDEIROS,3,1,1,"4,1","3,6","4,4","4,6","4,9","5,1","5,4"
000191,EMEF ALIPIO CORREA NETO,BUTANTA,VILA SONIA,3,1,1,"4,5","4,8","4,7","4,9","5,2","5,4","5,6"
095427,EMEF ALVARES DE AZEVEDO,IPIRANGA,SAO LUCAS,3,1,1,"4,9","4,9","5,1","5,2","5,4","5,5","5,7"
092827,EMEF ALVARO SILVA BRAGA GAL,BUTANTA,RIO PEQUENO,3,1,1,"3,3","4,0","3,6","3,9","4,2","4,5","4,8"
093238,EMEF ANTENOR NASCENTES,SANTO AMARO,CAMPO GRANDE,3,1,1,"4,4","4,8","4,6","4,8","5,0","5,1","5,3"
019388,EMEF ANTONIO CARLOS ROCHA PROF,PENHA,PENHA,3,1,1,"3,6","3,7","3,8","4,0","4,2","4,4","4,6"
097063,EMEF ANTONIO PEREIRA IGNACIO,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,8","4,3","5,0","5,1","5,2","5,4","5,5"
094889,EMEF ANTONIO SANT'ANA GALVAO FREI,JACANA/TREMEMBE,JACANA,3,1,1,"3,0","3,5","3,3","3,5","3,7","3,9","4,1"
092622,EMEF ARLINDO CAETANO FILHO PROF,SAO MATEUS,SAPOPEMBA,3,1,1,"4,4","4,7","4,6","4,7","4,9","5,0","5,2"
094803,EMEF ARY GOMES CORONEL,JACANA/TREMEMBE,VILA MARIA,3,1,1,"3,4","3,4","3,6","3,8","4,1","4,3","4,6"
095222,EMEF ARY PARREIRAS ALMIRANTE,SANTO AMARO,JABAQUARA,3,1,1,"3,7","3,0","3,9","4,1","4,3","4,5","4,7"
097705,EMEF AURELIANO LEITE,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,9","4,8","5,0","5,1","5,2","5,3","5,4"
019412,EMEF BADRA,PIRITUBA,PERUS,3,1,1,"4,0","4,2","4,1","4,3","4,4","4,6","4,7"
095508,EMEF BRASILIO MACHADO NETO,SAO MATEUS,SAPOPEMBA,3,1,1,"4,2","3,8","4,4","4,6","4,7","4,9","5,1"
015024,EMEF CAIO SERGIO POMPEU DE TOLEDO,GUAIANASES,CIDADE TIRADENTES,3,1,1,"3,8","3,6","4,0","4,2","4,4","4,6","4,8"
019434,EMEF CAMPO LIMPO II,CAMPO LIMPO,CAPAO REDONDO,3,1,1,"4,0","4,3","4,2","4,3","4,5","4,7","4,9"
019046,EMEF CELIA REGINA LEKEVICIUS CONSOLIN PROFA,JACANA/TREMEMBE,VILA MARIA,3,1,1,"3,8","4,1","4,0","4,2","4,5","4,7","5,0"
019551,EMEF CESAR ARRUDA CASTANHO,BUTANTA,RAPOSO TAVARES,3,1,1,"4,6","4,9","4,8","5,0","5,2","5,4","5,6"
010049,EMEF CHICO FALCONE PADRE,SAO MIGUEL,VILA CURUCA,3,1,1,"4,2","4,1","4,3","4,5","4,7","4,9","5,0"
019456,"EMEF HELINA COUTINHO LOURENCO ALVES, PROFESSORA",GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,2","5,0","4,4","4,6","4,9","5,1","5,3"
019322,EMEF CITY JARAGUA IV,PIRITUBA,JARAGUA,3,1,1,"3,5","4,0","3,7","4,0","4,2","4,4","4,6"
016527,EMEF CLAUDIA BARTOLOMAZI PROFA,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,2","4,0","4,3","4,5","4,6","4,8","4,9"
019447,EMEF CONJUNTO HABITACINAL SITIO CONCEICAO II,GUAIANASES,CIDADE TIRADENTES,3,1,1,*,*,*,*,*,*,*
019406,EMEF CONSTELACAO DO INDIO EMEF,CAPELA DO SOCORRO,GRAJAU,3,1,1,"5,0","4,8","5,1","5,3","5,5","5,6","5,8"
019249,EMEF DAISY AMADIO FUJIWARA EMEF,BUTANTA,RAPOSO TAVARES,3,1,1,"4,5","4,2","4,7","4,8","4,9","5,1","5,2"
093467,EMEF DANYLO JOSE FERNANDES EMEF,ITAQUERA,CIDADE LIDER,3,1,1,"4,4","3,9","4,6","4,8","5,0","5,2","5,4"
093106,EMEF DILERMANDO DIAS DOS SANTOS EMEF,PIRITUBA,VILA LEOPOLDINA,3,1,1,"3,8","3,6","4,0","4,3","4,5","4,8","5,0"
000477,EMEF EDA TEREZINHA CHICA MEDEIROS PROFA EMEF,BUTANTA,RAPOSO TAVARES,3,1,1,"4,2","4,6","4,3","4,5","4,7","4,8","5,0"
019476,"EMEF MARIA APARECIDA DO NASCIMENTO, PROFA.",GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,3","4,5","4,5","4,6","4,7","4,9","5,0"
019466,EMEF EMEF PERIMETRAL,CAMPO LIMPO,VILA ANDRADE,3,1,1,"3,8","3,8","4,0","4,2","4,4","4,6","4,7"
019462,EMEF EMEF PROFESSORA LILIAN MASO,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"4,1","4,5","4,2","4,4","4,6","4,8","4,9"
019232,EMEF FAZENDA DA JUTA EMEF,SAO MATEUS,SAPOPEMBA,3,1,1,"4,9","4,2","5,0","5,1","5,3","5,4","5,5"
016497,EMEF FERNANDO GRACIOSO EMEF,PIRITUBA,PERUS,3,1,1,"4,6","4,8","4,8","4,9","5,1","5,2","5,4"
014583,EMEF FLAVIO AUGUSTO ROSA PROF EMEF,SAO MIGUEL,JARDIM HELENA,3,1,1,"3,7","3,9","3,9","4,1","4,3","4,5","4,8"
095478,EMEF FLORES DA CUNHA DEPUTADO EMEF,SAO MATEUS,SAPOPEMBA,3,1,1,"4,5","4,7","4,7","4,8","4,9","5,0","5,1"
011533,EMEF FRANCISCO DA SILVEIRA BUENO PROF EMEF,IPIRANGA,SAO LUCAS,3,1,1,"3,8","3,8","4,0","4,2","4,4","4,6","4,8"
019275,EMEF FRANCISCO REBOLO EMEF,CAMPO LIMPO,VILA ANDRADE,3,1,1,"4,8","4,4","5,0","5,1","5,3","5,4","5,6"
095354,EMEF GENERAL OSORIO EMEF,IPIRANGA,VILA PRUDENTE,3,1,1,"4,7","4,2","4,9","5,0","5,1","5,2","5,3"
099783,EMEF GERALDO SESSO JUNIOR EMEF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"3,7","3,9","3,9","4,1","4,3","4,4","4,6"
095443,EMEF HENRIQUE MELEGA PROF EMEF,SAO MATEUS,SAPOPEMBA,3,1,1,"4,3","4,4","4,5","4,7","4,9","5,1","5,3"
094331,EMEF HUMBERTO DANTAS EMEF,FREGUESIA/BRASILANDIA,LIMAO,3,1,1,"4,8","4,2","4,9","5,1","5,2","5,4","5,5"
092801,EMEF IBRAHIM NOBRE EMEF,BUTANTA,RIO PEQUENO,3,1,1,"3,2","3,2","3,5","3,8","4,1","4,4","4,7"
094641,EMEF INFANTE DOM HENRIQUE EMEF,PENHA,PARI,3,1,1,"4,3","4,1","4,4","4,6","4,8","5,0","5,2"
019427,EMEF HERCILIA DE CAMPOS COSTA,IPIRANGA,SACOMA,3,1,1,"4,5","4,7","4,7","4,9","5,0","5,2","5,4"
095320,EMEF IRINEU MARINHO EMEF,IPIRANGA,VILA PRUDENTE,3,1,1,"3,9","4,5","4,0","4,2","4,3","4,5","4,6"
019433,"EMEF JOSEFA NICACIO ARAUJO, PROFA.",SAO MIGUEL,ITAIM PAULISTA,3,1,1,"4,3","4,6","4,4","4,6","4,8","5,0","5,2"
095591,EMEF IVETE VARGAS DEPUTADA EMEF,SAO MATEUS,SAPOPEMBA,3,1,1,"3,3","3,9","3,5","3,7","4,0","4,2","4,5"
019409,EMEF IZABEL APARECIDA CRISTOVAO DA LUZ PROFA EMEF,SAO MIGUEL,ITAIM PAULISTA,3,1,1,"4,5","4,3","4,7","4,9","5,0","5,2","5,4"
019390,EMEF JAGUARE CEU EMEF,PIRITUBA,JAGUARE,3,1,1,"4,4","3,4","4,6","4,7","4,8","5,0","5,1"
019347,EMEF JARDIM DA CONQUISTA EMEF,PIRITUBA,PERUS,3,1,1,"4,6","5,1","4,7","4,8","5,0","5,1","5,2"
019349,EMEF JARDIM DAMACENO I EMEF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"4,3","4,6","4,4","4,6","4,7","4,9","5,0"
019221,EMEF JARDIM DAS LARANJEIRAS EMEF,SAO MATEUS,IGUATEMI,3,1,1,"5,0","5,3","5,1","5,2","5,3","5,4","5,5"
019401,EMEF JARDIM FONTALIS EMEF,JACANA/TREMEMBE,TREMEMBE,3,1,1,"4,3","4,3","4,4","4,6","4,7","4,8","5,0"
019417,EMEF JARDIM PAULO VI EMEF,BUTANTA,RAPOSO TAVARES,3,1,1,"4,4","4,2","4,5","4,7","4,8","4,9","5,1"
019460,EMEF JARDIM RODOLFO PIRANI I EMEF,SAO MATEUS,SAO RAFAEL,3,1,1,"4,5","4,5","4,6","4,8","5,0","5,1","5,3"
094277,EMEF JOAO AMOS COMENIUS EMEF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"3,9","3,7","4,1","4,3","4,5","4,6","4,8"
019305,EMEF JOAO DA SILVA EMEF,CAPELA DO SOCORRO,GRAJAU,3,1,1,"4,2","4,1","4,4","4,5","4,7","4,9","5,1"
094722,EMEF JOAO RAMOS EMEF,JACANA/TREMEMBE,TREMEMBE,3,1,1,"4,7","4,8","4,9","5,1","5,3","5,4","5,6"
093874,EMEF JOSE AMERICO DE ALMEIDA EMEF,SAO MIGUEL,JARDIM HELENA,3,1,1,"4,7","4,9","4,9","5,0","5,1","5,2","5,3"
097721,EMEF JOSE AUGUSTO CESAR SALGADO DR EMEF,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,1","4,2","4,3","4,4","4,6","4,8","4,9"
019283,EMEF JOSE BLOTA JUNIOR DEPUTADO EMEF,CAMPO LIMPO,JARDIM ANGELA,3,1,1,"4,1","4,4","4,3","4,5","4,7","4,8","5,0"
019350,EMEF JOSE HERMINIO RODRIGUES CORONEL PM EMEF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"4,3","4,5","4,4","4,5","4,7","4,8","5,0"
095176,EMEF JOSE LINS DO REGO EMEF,SAO MATEUS,SAO MATEUS,3,1,1,"4,5","4,7","4,7","4,8","4,9","5,1","5,2"
019196,EMEF LILIANE VERZINI SILVA EMEF,SANTO AMARO,CIDADE ADEMAR,3,1,1,*,*,*,*,*,*,*
019011,EMEF LINO DE MATTOS SENADOR EMEF,SAO MIGUEL,VILA JACUI,3,1,1,"4,8","5,0","5,0","5,1","5,3","5,4","5,5"
094471,EMEF LUIZ DAVID SOBRINHO PROF EMEF,PIRITUBA,JARAGUA,3,1,1,"4,3","4,3","4,5","4,7","4,9","5,1","5,2"
019422,EMEF M BOI MIRIM I ESCOLA MUNICIPAL DE ENSINO FUNDAMENT,CAMPO LIMPO,JARDIM SAO LUIS,3,1,1,"4,7","5,0","4,8","5,1","5,3","5,5","5,7"
019424,EMEF M BOI MIRIM III EMEF,CAMPO LIMPO,JARDIM ANGELA,3,1,1,"4,6","3,7","4,8","4,9","5,0","5,1","5,2"
099678,EMEF MALLET MARECHAL EMEF,ITAQUERA,JOSE BONIFACIO,3,1,1,"4,8","4,6","5,0","5,2","5,4","5,7","5,9"
019267,EMEF MARIA RITA DE CASSIA P SIMOES BRAGA PROFA EMEF,CAMPO LIMPO,CAPAO REDONDO,3,1,1,"4,1","4,4","4,3","4,6","4,8","5,0","5,3"
019691,EMEF MARIO COVAS GOVERNADOR EMEF,ITAQUERA,JOSE BONIFACIO,3,1,1,"4,7","4,9","4,9","5,1","5,2","5,4","5,5"
092860,EMEF MARIO MOURA ALBUQUERQUE BEL EMEF,CAMPO LIMPO,JARDIM SAO LUIS,3,1,1,"4,7","4,2","4,9","5,0","5,2","5,4","5,5"
010111,EMEF MARIO SCHONBERG PROF EMEF,SANTO AMARO,PEDREIRA,3,1,1,"4,4","4,2","4,5","4,7","4,8","4,9","5,0"
093645,EMEF MAURICIO GOULART EMEF,GUAIANASES,CIDADE TIRADENTES,3,1,1,"3,9","4,2","4,0","4,2","4,4","4,5","4,7"
019266,EMEF MENINOS CEU EMEF,IPIRANGA,SACOMA,3,1,1,"4,7","4,9","4,9","5,0","5,2","5,4","5,5"
