,,,,,,,IDEP,,METAS,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
000191,EMEF ALIPIO CORREA NETO,BUTANTA,VILA SONIA,3,1,1,"5,5","4,9","5,7","5,9","6,1","6,3","6,5"
000264,EMEF SYLVIO HECK ALMIRANTE,SANTO AMARO,PEDREIRA,3,1,1,"4,5","4,0","4,7","4,9","5,1","5,4","5,6"
000477,EMEF EDA TEREZINHA CHICA MEDEIROS PROFA,BUTANTA,RAPOSO TAVARES,3,1,1,"4,8","4,3","5,0","5,2","5,5","5,7","5,9"
008842,EMEF SEBASTIAO FRANCISCO O NEGRO,ITAQUERA,PARQUE DO CARMO,3,1,1,"4,9","4,8","5,1","5,3","5,5","5,8","6,0"
010049,EMEF CHICO FALCONE PADRE,SAO MIGUEL,VILA CURUCA,3,1,1,"4,6","4,7","4,8","5,0","5,3","5,5","5,7"
010111,EMEF MARIO SCHONBERG PROF,SANTO AMARO,PEDREIRA,3,1,1,"5,0","5,4","5,2","5,4","5,6","5,8","6,0"
011533,EMEF FRANCISCO DA SILVEIRA BUENO PROF,IPIRANGA,SAO LUCAS,3,1,1,"3,7","3,2","4,0","4,2","4,5","4,8","5,1"
012688,EMEF ULYSSES DA SILVEIRA GUIMARAES,CAPELA DO SOCORRO,PARELHEIROS,3,1,1,"4,7","4,9","5,0","5,2","5,4","5,6","5,9"
014583,EMEF FLAVIO AUGUSTO ROSA PROF,SAO MIGUEL,JARDIM HELENA,3,1,1,"4,9","4,0","5,1","5,3","5,5","5,7","6,0"
015024,EMEF CAIO SERGIO POMPEU DE TOLEDO,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,4","3,8","4,7","4,9","5,1","5,4","5,6"
016497,EMEF FERNANDO GRACIOSO,PIRITUBA,PERUS,3,1,1,"4,6","4,1","4,8","5,1","5,3","5,5","5,7"
016527,EMEF CLAUDIA BARTOLOMAZI PROFA,GUAIANASES,CIDADE TIRADENTES,3,1,1,"5,0","4,4","5,2","5,5","5,7","5,9","6,1"
019011,EMEF LINO DE MATTOS SENADOR,SAO MIGUEL,VILA JACUI,3,1,1,"5,2","5,6","5,4","5,7","5,9","6,1","6,4"
019046,EMEF CELIA REGINA LEKEVICIUS CONSOLIN PROFA,JACANA/TREMEMBE,VILA MARIA,3,1,1,"4,9","4,4","5,1","5,3","5,6","5,8","6,0"
019196,EMEF LILIANE VERZINI SILVA,SANTO AMARO,CIDADE ADEMAR,3,1,1,"5,3","4,6","5,5","5,7","5,9","6,1","6,3"
019217,EMEF RECANTO DOS HUMILDES,PIRITUBA,PERUS,3,1,1,"5,3","4,5","5,5","5,7","5,9","6,2","6,4"
019221,EMEF JARDIM DAS LARANJEIRAS,SAO MATEUS,IGUATEMI,3,1,1,"5,4","4,8","5,6","5,8","6,0","6,2","6,4"
019232,EMEF FAZENDA DA JUTA,SAO MATEUS,SAPOPEMBA,3,1,1,"4,5","3,9","4,8","5,0","5,2","5,4","5,7"
019249,EMEF DAISY AMADIO FUJIWARA,BUTANTA,RAPOSO TAVARES,3,1,1,"4,6","3,9","4,8","5,0","5,2","5,5","5,7"
019266,CEU EMEF MENINOS,IPIRANGA,SACOMA,3,1,1,"5,1","4,5","5,3","5,5","5,7","6,0","6,2"
019267,EMEF MARIA RITA DE CASSIA P SIMOES BRAGA PROFA,CAMPO LIMPO,CAPAO REDONDO,3,1,1,"4,4","4,9","4,6","4,9","5,2","5,4","5,7"
019275,EMEF FRANCISCO REBOLO,CAMPO LIMPO,VILA ANDRADE,3,1,1,"4,9","5,0","5,1","5,3","5,5","5,7","6,0"
019283,EMEF JOSE BLOTA JUNIOR DEPUTADO,CAMPO LIMPO,JARDIM ANGELA,3,1,1,"4,6","4,2","4,8","5,1","5,3","5,5","5,8"
019305,EMEF JOAO DA SILVA,CAPELA DO SOCORRO,GRAJAU,3,1,1,"5,1","4,1","5,3","5,5","5,7","5,9","6,2"
019322,EMEF CITY JARAGUA IV,PIRITUBA,JARAGUA,3,1,1,"4,9","4,1","5,2","5,4","5,6","5,9","6,1"
019347,EMEF JARDIM DA CONQUISTA,PIRITUBA,PERUS,3,1,1,"5,1","4,7","5,3","5,5","5,7","5,9","6,1"
019349,EMEF JARDIM DAMACENO I,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"4,5","4,2","4,7","5,0","5,2","5,4","5,7"
019350,EMEF JOSE HERMINIO RODRIGUES CORONEL PM,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"4,8","4,3","5,0","5,2","5,4","5,7","5,9"
019384,CEU EMEF PARAISOPOLIS,CAMPO LIMPO,VILA ANDRADE,3,1,1,"4,3","3,8","4,5","4,7","5,0","5,2","5,5"
