,,,,,,,IDEP,,META,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
000311,EMEF ANTONIO ALVES DA SILVA SARGENTO,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,8","5,1","5,0","5,2","5,5","5,7","5,9"
000540,EMEF RAUL POMPEIA,PIRITUBA,JARAGUA,3,2,2,"4,2","3,9","4,5","4,7","5,0","5,2","5,5"
009971,EMEF LUIZ GONZAGA DO NASCIMENTO,IPIRANGA,SACOMA,3,2,2,"5,3","5,0","5,5","5,7","5,9","6,2","6,4"
010120,EMEF CARLOS AUGUSTO DE QUEIROZ ROCHA,SANTO AMARO,CIDADE ADEMAR,3,2,2,"4,5","4,2","4,8","5,0","5,3","5,5","5,8"
010146,EMEF MARIA RITA LOPES PONTES - IRMA DULCE,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,9","4,1","5,1","5,3","5,5","5,8","6,0"
011924,EMEF MARIA ALICE BORGES GHION PROFA,BUTANTA,RAPOSO TAVARES,3,2,2,"5,3","4,7","5,5","5,7","5,9","6,1","6,3"
012874,EMEF BENEDITO DE JESUS B LAURINDO PE BATISTA,SAO MATEUS,SAPOPEMBA,3,2,2,"4,4","4,6","4,6","4,9","5,1","5,4","5,7"
013528,EMEF ANNA LAMBERGA ZEGLIO VEREADORA,GUAIANASES,CIDADE TIRADENTES,3,2,2,"4,4","4,1","4,6","4,9","5,1","5,3","5,6"
013803,EMEF JULIO DE GRAMMONT,SAO MATEUS,SAO RAFAEL,3,2,2,"4,0","3,8","4,3","4,5","4,8","5,0","5,3"
015440,EMEF EUZEBIO ROCHA FILHO,SAO MIGUEL,VILA CURUCA,3,2,2,"5,0","4,4","5,2","5,4","5,6","5,9","6,1"
016519,EMEFM RUBENS PAIVA,SAO MATEUS,SAPOPEMBA,3,2,2,"4,8","3,9","5,0","5,3","5,5","5,7","6,0"
016713,EMEF ANNA SILVEIRA PEDREIRA,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"5,4","5,1","5,6","5,8","6,0","6,2","6,4"
017973,EMEF MAILSON DELANE,GUAIANASES,CIDADE TIRADENTES,3,2,2,"3,9","3,7","4,2","4,4","4,7","5,0","5,2"
017981,EMEF PERICLES EUGENIO DA SILVA RAMOS,IPIRANGA,IPIRANGA,3,2,2,"4,3","3,8","4,5","4,8","5,0","5,3","5,6"
018830,EMEF PAULO FREIRE PROF,CAMPO LIMPO,VILA ANDRADE,3,2,2,"4,4","4,6","4,7","5,0","5,3","5,6","5,9"
019020,EMEF JAIRO DE ALMEIDA PROF,PIRITUBA,PERUS,3,2,2,"4,5","5,3","4,7","5,0","5,2","5,4","5,6"
019195,EMEF JOSE KAUFFMANN DR,PIRITUBA,JARAGUA,3,2,2,"4,4","4,8","4,6","4,9","5,1","5,4","5,6"
019216,EMEF THEREZA MACIEL DE PAULA PROFA,SAO MATEUS,SAO RAFAEL,3,2,2,"4,5","5,1","4,8","5,0","5,2","5,5","5,7"
019218,EMEF JARDIM MONTE BELO,PIRITUBA,ANHANGUERA,3,2,2,"5,3","5,2","5,5","5,7","5,9","6,2","6,4"
019220,EMEF MARIO LAGO,PIRITUBA,JARAGUA,3,2,2,"4,2","4,4","4,4","4,7","4,9","5,2","5,4"
019222,EMEF VEREMUNDO TOTH DOM,CAMPO LIMPO,VILA ANDRADE,3,2,2,"4,1","4,7","4,3","4,5","4,8","5,1","5,3"
019223,EMEF PARQUE DAS FLORES,SAO MATEUS,SAO RAFAEL,3,2,2,"4,7","4,8","5,0","5,2","5,4","5,6","5,8"
019224,EMEF JARDIM BRITANIA,PIRITUBA,ANHANGUERA,3,2,2,"5,0","5,4","5,3","5,5","5,7","6,0","6,2"
019251,EMEF CASARAO,CAMPO LIMPO,VILA ANDRADE,3,2,2,"4,2","3,7","4,4","4,7","5,0","5,3","5,5"
019264,CEU EMEF INACIO MONTEIRO,GUAIANASES,CIDADE TIRADENTES,3,2,2,"4,3","4,2","4,6","4,8","5,1","5,3","5,6"
019277,CEU EMEF VILA ATLANTICA,PIRITUBA,SAO DOMINGOS,3,2,2,"5,0","4,1","5,2","5,4","5,6","5,9","6,1"
019383,CEU EMEF CAPAO REDONDO,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,8","4,8","5,0","5,3","5,5","5,8","6,1"
019402,EMEF ZILKA SALABERRY DE CARVALHO,FREGUESIA/BRASILANDIA,CACHOEIRINHA,3,2,2,"5,0","4,7","5,2","5,4","5,6","5,9","6,1"
019480,"EMEF ABRAO HUCK, DR.",IPIRANGA,SACOMA,3,2,2,"4,6","4,8","4,8","5,0","5,3","5,5","5,8"
019488,EMEF PAULO CARNEIRO THOMAZ ALVES GENERAL,JACANA/TREMEMBE,VILA MARIA,3,2,2,"3,8","3,4","4,1","4,3","4,6","4,8","5,1"
019674,EMEF JARDIM ELIANA,CAPELA DO SOCORRO,GRAJAU,3,2,2,"4,8","4,0","5,0","5,2","5,4","5,7","5,9"
