,,,,,,,IDEP,,META,,,,
Cod_Esc,Escola,Diretoria,Distrito,NSE,ICG,Faixa,2018,2019,2019,2020,2021,2022,2023
093319,EMEF ALMEIDA JUNIOR PROF,CAPELA DO SOCORRO,SOCORRO,5,1,5,"5,2","4,9","5,4","5,6","5,9","6,1","6,3"
094129,EMEF GUILHERME DE ALMEIDA,PENHA,CANGAIBA,5,1,5,"5,2","4,7","5,4","5,6","5,8","6,0","6,2"
094790,EMEF HELENA LOMBARDI BRAGA PROFA,JACANA/TREMEMBE,VILA GUILHERME,5,1,5,"5,4","5,3","5,6","5,8","6,0","6,2","6,5"
093301,EMEF HEITOR DE ANDRADE,CAPELA DO SOCORRO,SOCORRO,5,1,5,"5,4","4,9","5,6","5,8","6,0","6,3","6,5"
094749,EMEF MARTIN FRANCISCO RIBEIRO DE ANDRADA,JACANA/TREMEMBE,TUCURUVI,5,1,5,"5,4","5,4","5,6","5,8","6,0","6,2","6,3"
094021,EMEF VISCONDE DE CAIRU,PENHA,VILA MATILDE,5,1,5,"5,4","4,3","5,6","5,8","6,0","6,2","6,4"
092690,EMEF AMORIM LIMA DESEMBARGADOR,BUTANTA,BUTANTA,5,1,5,"5,5","5,2","5,7","5,9","6,1","6,3","6,5"
092797,EMEF JULIO DE MESQUITA,BUTANTA,BUTANTA,5,1,5,"5,5","5,1","5,7","5,9","6,1","6,3","6,5"
093220,EMEF ANTONIO CARLOS ABREU SODRE DR,SANTO AMARO,CAMPO GRANDE,5,1,5,"5,7","5,2","5,8","6,0","6,2","6,5","6,7"
019263,CEU EMEF CIDADE DUTRA,CAPELA DO SOCORRO,CIDADE DUTRA,5,1,5,"5,7","5,7","5,9","6,1","6,3","6,5","6,7"
019397,EMEF GILMAR TACCOLA PROF,ITAQUERA,CARRAO,5,1,5,"5,7","5,4","5,9","6,1","6,3","6,5","6,7"
094552,EMEF AMADEU MENDES PROF,PIRITUBA,SAO DOMINGOS,5,1,5,"5,7","5,5","5,9","6,1","6,3","6,5","6,7"
095184,EMEF SERGIO MILLIET,ITAQUERA,ARICANDUVA,5,1,5,"5,7","5,6","5,9","6,1","6,3","6,5","6,6"
093203,EMEF LAERTE RAMOS CARVALHO PROF,SANTO AMARO,CAMPO GRANDE,5,1,5,"6,0","5,7","6,2","6,4","6,5","6,7","6,9"
093173,EMEF JOAQUIM CANDIDO A MARQUES DESEMBARGADOR,SANTO AMARO,SANTO AMARO,5,1,5,"6,6","5,7","6,8","6,9","7,1","7,3","7,4"
